country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
Belgium,1995-96,B1,2,1995-08-11,1season,9,3,0.3333333333333333,1.1187431281206024,0.6806877341202774,0.27673429096305313
Belgium,1995-96,B1,3,1995-08-16,1season,8,3,0.375,1.0789990289351838,0.6566200270794204,0.17906145858162026
Belgium,1995-96,B1,4,1995-08-20,1season,9,5,0.5555555555555556,1.0194812824769324,0.6084354475764402,0.26508008947380485
Belgium,1995-96,B1,5,1995-08-27,1season,9,5,0.5555555555555556,0.9612753805945327,0.5656383413221566,0.1703127830711935
Belgium,1995-96,B1,6,1995-08-29,1season,8,5,0.625,1.0163591856735412,0.6087941687849132,0.21020696871414177
Belgium,1995-96,B1,7,1995-09-10,1season,9,1,0.1111111111111111,1.224028339688872,0.7599349324914287,0.26740414271959456
Belgium,1995-96,B1,8,1995-09-17,1season,9,2,0.2222222222222222,1.1959413127731517,0.7365227079869703,0.23124769516802435
Belgium,1995-96,B1,9,1995-09-20,1season,9,6,0.6666666666666666,0.9542353946231581,0.5661021737645693,0.21943300354108786
Belgium,1995-96,B1,10,1995-09-24,1season,10,3,0.3,1.139137348345602,0.6999713157840929,0.20073225798303226
Belgium,1995-96,B1,11,1995-09-30,1season,9,2,0.2222222222222222,1.1330071871890182,0.6867497282146515,0.13301718112439864
Belgium,1995-96,B1,12,1995-10-15,1season,9,4,0.4444444444444444,1.0351667903333153,0.6213941820041817,0.17371241654873612
Belgium,1995-96,B1,13,1995-10-22,1season,9,4,0.4444444444444444,1.0104869438763593,0.6058511511418683,0.23929754089880262
Belgium,1995-96,B1,14,1995-10-29,1season,9,5,0.5555555555555556,1.0005775961693903,0.6039155506898166,0.18939622486284824
Belgium,1995-96,B1,15,1995-11-05,1season,10,5,0.5,1.0601738559608687,0.6353388253705963,0.23450255067352838
Belgium,1995-96,B1,16,1995-11-19,1season,9,6,0.6666666666666666,0.9261614018989869,0.5401439717248819,0.23094900437694163
Belgium,1995-96,B1,17,1995-11-24,1season,9,3,0.3333333333333333,1.110939058576627,0.6800883322127722,0.1785672970277727
Belgium,1995-96,B1,18,1995-12-02,1season,9,4,0.4444444444444444,1.0602698045732681,0.6420959427909,0.23296950753702347
Belgium,1995-96,B1,19,1995-12-17,1season,9,4,0.4444444444444444,1.175400334051421,0.7057871088928741,0.28929833308280517
Belgium,1995-96,B1,20,1995-12-23,1season,9,4,0.4444444444444444,1.0058904133675346,0.60261991611211,0.16433149404628558
Belgium,1995-96,B1,21,1996-01-28,1season,9,4,0.4444444444444444,1.1920188893318526,0.7253344908118912,0.27458616252597157
Belgium,1995-96,B1,22,1996-02-04,1season,9,7,0.7777777777777778,0.8759429681146182,0.5095311727347915,0.21563564988718692
Belgium,1995-96,B1,23,1996-02-11,1season,9,6,0.6666666666666666,0.9266648200399877,0.5431100379108742,0.20795482600962653
Belgium,1995-96,B1,24,1996-02-18,1season,9,6,0.6666666666666666,0.9162323914691464,0.5484259997197725,0.16164465175266196
Belgium,1995-96,B1,25,1996-03-01,1season,9,4,0.4444444444444444,1.1271359103594947,0.6752417983445235,0.24957591015918032
Belgium,1995-96,B1,26,1996-03-10,1season,9,3,0.3333333333333333,1.2000983238845195,0.7182912338580111,0.2466468145902517
Belgium,1995-96,B1,27,1996-03-15,1season,9,7,0.7777777777777778,0.8657496586264544,0.503762900994348,0.1638184271314865
Belgium,1995-96,B1,28,1996-03-22,1season,9,5,0.5555555555555556,0.9579932251639478,0.5689563279495086,0.1964146253085587
Belgium,1995-96,B1,29,1996-03-30,1season,9,6,0.6666666666666666,0.8749180070316538,0.5103324694195499,0.1915577288265547
Belgium,1995-96,B1,30,1996-04-05,1season,9,8,0.8888888888888888,0.8134146541860477,0.4639814461746972,0.19287187119815338
Belgium,1995-96,B1,31,1996-04-12,1season,9,5,0.5555555555555556,0.9833121323087821,0.5841276818155744,0.17955321232756052
Belgium,1995-96,B1,32,1996-04-21,1season,9,4,0.4444444444444444,1.0283799455212825,0.6235516519573616,0.19922713476723325
Belgium,1995-96,B1,33,1996-05-05,1season,9,5,0.5555555555555556,1.0833627998163873,0.6305953487642365,0.2517161945801719
Belgium,1995-96,B1,34,1996-05-12,1season,9,7,0.7777777777777778,0.8358563313905383,0.47973284015364925,0.176282862988714
Belgium,1996-97,B1,1,1996-08-01,1season,9,4,0.4444444444444444,1.0453939017510536,0.6250510513861635,0.20002345927574697
Belgium,1996-97,B1,2,1996-08-10,1season,9,5,0.5555555555555556,0.9647931234918349,0.5714160763557852,0.2221031613555223
Belgium,1996-97,B1,3,1996-08-16,1season,9,1,0.1111111111111111,1.250218090898459,0.7710303304739649,0.22406528589149596
Belgium,1996-97,B1,4,1996-08-24,1season,9,4,0.4444444444444444,1.0791808681734356,0.661254757955841,0.19359291424106825
Belgium,1996-97,B1,5,1996-09-06,1season,9,2,0.2222222222222222,1.1303942934501834,0.6950950089547391,0.16160832750886517
Belgium,1996-97,B1,6,1996-09-14,1season,9,3,0.3333333333333333,1.1962769803170863,0.7299128246504761,0.3258176678837095
Belgium,1996-97,B1,7,1996-09-21,1season,9,2,0.2222222222222222,1.1206664555268864,0.686852362256007,0.18195226246981092
Belgium,1996-97,B1,8,1996-09-28,1season,9,5,0.5555555555555556,0.9601175024755444,0.5682871384855256,0.1960848897037884
Belgium,1996-97,B1,9,1996-10-05,1season,9,2,0.2222222222222222,1.1538200259981977,0.7128186576869572,0.2683092335371009
Belgium,1996-97,B1,10,1996-10-12,1season,9,6,0.6666666666666666,0.9112165178834923,0.5317192636428649,0.20228623485187625
Belgium,1996-97,B1,11,1996-10-19,1season,9,5,0.5555555555555556,1.018406807874503,0.6103433868031942,0.21709507441989892
Belgium,1996-97,B1,12,1996-10-26,1season,9,7,0.7777777777777778,0.8179124540413604,0.4675157599914221,0.19463993391650003
